wavelength_nm,mean,std,min,max,n_pixels,class_name
893.62,0.019360699681962756,0.002434008153651259,0.0145,0.0651,2201,water
896.81,0.019360699681962756,0.002434008153651259,0.0145,0.0651,2201,water
900.01,0.019123489323034985,0.0023955295108331084,0.0144,0.0639,2201,water
903.21,0.01888791458427988,0.0023565998742353985,0.0143,0.0627,2201,water
906.4,0.018651885506587904,0.002321153188625671,0.0142,0.0615,2201,water
909.6,0.018415356656065432,0.0022870366838319786,0.0141,0.0603,2201,water
912.8,0.018178555202180865,0.0022536463187004807,0.014,0.0592,2201,water
915.99,0.017941753748296214,0.0022242662559851865,0.0139,0.0598,2201,water
919.19,0.017705452067242153,0.002194227403396251,0.0137,0.0604,2201,water
922.39,0.01746796910495233,0.002168329040560028,0.0136,0.0611,2201,water
925.58,0.01723130395274874,0.002142612377200871,0.0135,0.0617,2201,water
928.78,0.016995592912312608,0.002119168710436997,0.0134,0.0623,2201,water
931.98,0.016758518855065862,0.0020975118128898603,0.0133,0.0629,2201,water
935.17,0.01652239890958653,0.0020783609947348345,0.0131,0.0636,2201,water
938.37,0.01628523398455248,0.0020634822844909926,0.0129,0.0642,2201,water
941.57,0.01604965924579734,0.0020488957385553213,0.0127,0.0648,2201,water
944.76,0.015812403452975934,0.002038126522271881,0.0125,0.0655,2201,water
947.96,0.01557496592457974,0.002028538504625296,0.0123,0.0661,2201,water
951.16,0.015338982280781463,0.002022536135232755,0.0121,0.0667,2201,water
954.35,0.01510290776919581,0.002016752721836533,0.0119,0.0673,2201,water
957.55,0.014866696955929133,0.0020160682806426625,0.0117,0.068,2201,water
960.75,0.014629395729213984,0.0020174835919485805,0.0115,0.0686,2201,water
963.94,0.014392912312585203,0.0020197377678658657,0.0113,0.0692,2201,water
967.14,0.014156247160381644,0.0020268668837243654,0.0111,0.0699,2201,water
970.1,0.013918809631985461,0.0020364207996602765,0.0109,0.0705,2201,water
975.54,0.013701363016810521,0.0020453201473063032,0.0107,0.0711,2201,water
980.98,0.013297546569741055,0.002067808100762804,0.0104,0.0721,2201,water
986.42,0.012896001817355757,0.0020977764002512857,0.01,0.0732,2201,water
991.86,0.012492730577010438,0.0021360524007481407,0.0097,0.0743,2201,water
997.3,0.012090640617900944,0.0021780962493058802,0.0093,0.0753,2201,water
1002.74,0.011687051340299858,0.0022270548186091523,0.0087,0.0764,2201,water
1008.18,0.011182235347569295,0.0022652268000126242,0.0077,0.0769,2201,water
1013.62,0.011419309404815987,0.002305447043051747,0.0084,0.0794,2201,water
1019.06,0.01177051340299866,0.002366005102570251,0.0085,0.0827,2201,water
1024.5,0.011785233984552475,0.0023977612763592957,0.0087,0.0838,2201,water
1029.95,0.011682962289868254,0.002378702003372853,0.0085,0.0831,2201,water
1035.39,0.011526624261699222,0.0023659574093477377,0.0084,0.0839,2201,water
1040.83,0.011458109950022733,0.0023578242799619773,0.0086,0.0844,2201,water
1046.27,0.011505224897773747,0.0024537846384046673,0.0063,0.0873,2201,water
1051.71,0.011811449341208523,0.002463490822962181,0.0088,0.0896,2201,water
1057.15,0.012254157201272143,0.0025215493488950176,0.0096,0.0932,2201,water
1062.59,0.012366288050885988,0.002549536372592238,0.0097,0.094,2201,water
1068.03,0.01242049068605177,0.002566097662534146,0.0098,0.0935,2201,water
1073.47,0.012048069059518393,0.0025128519014985706,0.0094,0.0912,2201,water
1078.91,0.01200549750113584,0.002504035241568393,0.0096,0.0918,2201,water
1084.35,0.011953566560654235,0.0024655180630686244,0.0096,0.0906,2201,water
1089.79,0.011902498864152648,0.0024294945467812066,0.0097,0.0894,2201,water
1095.23,0.011850931394820538,0.002391541970308223,0.0096,0.0881,2201,water
1100.67,0.011800545206724224,0.002355037091558117,0.0096,0.0869,2201,water
1106.11,0.011748432530667886,0.0023180317956316863,0.0095,0.0856,2201,water
1111.55,0.011697046796910495,0.00228370420829644,0.0095,0.0844,2201,water
1116.99,0.011645388459791005,0.0022500924923279037,0.0094,0.0832,2201,water
1122.43,0.011595184007269414,0.002214958336410649,0.0094,0.0819,2201,water
1127.87,0.011543162199000454,0.0021825505920508104,0.0093,0.0807,2201,water
1133.32,0.011490913221263057,0.0021491032235906784,0.0093,0.0794,2201,water
1138.76,0.011440799636528842,0.002117951003021521,0.0092,0.0782,2201,water
1144.2,0.011388550658791461,0.00208697600681002,0.0091,0.0769,2201,water
1149.64,0.011339300318037256,0.0020577338067188223,0.009,0.0757,2201,water
1155.08,0.011286369831894605,0.0020291770717748465,0.0088,0.0745,2201,water
1160.52,0.011235892776010881,0.0019995731897645215,0.0087,0.0732,2201,water
1165.96,0.011184143571104022,0.0019739619378562603,0.0086,0.072,2201,water
1171.4,0.011133802816901416,0.0019474277989209897,0.0084,0.0707,2201,water
1176.84,0.01108246251703771,0.001924039672284906,0.0083,0.0695,2201,water
1182.28,0.011030168105406649,0.0019006287043312074,0.0082,0.0683,2201,water
1187.72,0.010978964107224012,0.0018762336593879264,0.008,0.067,2201,water
1193.16,0.010927987278509778,0.0018561489928005392,0.0079,0.0658,2201,water
1198.6,0.01185633802816901,0.0019935160902407227,0.0088,0.0721,2201,water
1204.04,0.011392912312585182,0.0019311406699946598,0.0084,0.0697,2201,water
1209.48,0.011605724670604256,0.0019606107431046713,0.0086,0.0708,2201,water
1214.92,0.011482962289868255,0.001940399570598102,0.0089,0.0701,2201,water
1220.36,0.01166206269877331,0.00198371119545567,0.0088,0.0721,2201,water
1225.8,0.011910404361653788,0.0020208562249383,0.0092,0.0749,2201,water
1231.24,0.01185383916401637,0.002005303202994054,0.0092,0.0741,2201,water
1236.69,0.012132212630622445,0.00204714059166448,0.0095,0.0766,2201,water
1242.13,0.012312267151294883,0.0021035693461477056,0.0096,0.0792,2201,water
1247.57,0.012395184007269425,0.0021156590366379338,0.01,0.0793,2201,water
1253.01,0.012600726942298964,0.002135083438532673,0.0096,0.0799,2201,water
1258.45,0.01300567923671057,0.0022277525374182023,0.0104,0.0839,2201,water
1263.89,0.013384143571104028,0.0022810719779237307,0.0106,0.0858,2201,water
1269.33,0.01289627442071787,0.002218050889883634,0.01,0.0829,2201,water
1274.77,0.01182776010904132,0.002079544733539003,0.0091,0.0776,2201,water
1280.21,0.01230763289413902,0.002147179097346358,0.0096,0.0805,2201,water
1285.65,0.01214620626987732,0.002126707957720899,0.0097,0.0799,2201,water
1291.09,0.012320308950477074,0.0021491099838509956,0.0099,0.0812,2201,water
1296.53,0.012474557019536583,0.0021520809372552172,0.01,0.0809,2201,water
1301.97,0.012598273512039954,0.002149756163693681,0.0098,0.0801,2201,water
1307.41,0.01253003180372559,0.002133744563584036,0.0099,0.0795,2201,water
1312.85,0.012820808723307611,0.002135026821257172,0.0096,0.0789,2201,water
1318.29,0.012482689686506133,0.0020287446271766516,0.0087,0.0727,2201,water
1323.73,0.012758155383916406,0.0020332727884394917,0.0094,0.0715,2201,water
1329.17,0.016080508859609245,0.0025582730174579286,0.0106,0.0855,2201,water
1334.61,0.015672194457064997,0.002493126760877919,0.0103,0.0831,2201,water
