wavelength_nm,value
1873.23,0.0033
1878.67,0.0032
1884.11,0.0031
1889.55,0.0031
1894.99,0.003
1900.43,0.0029
1905.87,0.0028
1911.31,0.0027
1916.75,0.0026
1922.19,0.0026
1927.63,0.0025
1933.07,0.0024
1938.51,0.0023
1943.95,0.0022
1949.39,0.0022
1954.83,0.0021
1960.28,0.002
1965.72,0.0019
1971.16,0.0018
1976.6,0.0018
1982.04,0.0017
1987.48,0.0016
1992.92,0.0015
1998.36,0.0031
2003.8,0.0534
2009.24,0.0416
2014.68,0.0501
2020.12,0.0
2025.56,0.0016
2031.0,0.0034
2036.44,0.0041
2041.88,0.003
2047.32,0.0018
2052.76,0.0001
2058.2,0.0056
2063.65,0.0021
2069.09,0.0029
2074.53,0.0
2079.97,0.003
2085.41,0.0026
2090.85,0.0031
2096.29,0.0013
2101.73,0.0031
2107.17,0.0026
2112.61,0.0018
2118.05,0.0015
2123.49,0.0032
2128.93,0.0022
2134.37,0.0019
2139.81,0.0017
2145.25,0.002
2150.69,0.0019
2156.13,0.002
2161.57,0.0035
2167.02,0.0014
2172.46,0.0031
2177.9,0.0024
2183.34,0.0027
2188.78,0.001
2194.22,0.0015
2199.66,0.0051
2205.1,0.0031
2210.54,0.0031
2215.98,0.003
2221.42,0.0023
2226.86,0.0037
2232.3,0.0032
2237.74,0.0061
2243.18,0.002
2248.62,0.0028
2254.06,0.0037
2259.5,0.0
2264.94,0.0
2270.39,0.0021
2275.83,0.0016
2281.27,0.0062
2286.71,0.003
2292.15,0.001
2297.59,0.0023
2303.03,0.0029
2308.47,0.0034
2313.91,0.0003
2319.35,0.0031
2324.79,0.0498
2330.23,0.0004
2335.67,0.0033
2341.11,0.006
2346.55,0.0029
2351.99,0.0012
2357.43,0.0447
2362.87,0.0004
2368.32,0.0401
2373.76,0.0405
2379.2,0.0
2384.64,0.0008
2390.08,0.0404
2395.52,0.0008
2400.96,0.0024
2406.4,0.0333
2411.84,0.0285
2417.28,0.0434
2422.72,0.0374
2428.16,0.0299
2433.6,0.0379
2439.04,0.0294
2444.48,0.0215
2449.92,0.0005
2455.36,0.002
2460.8,0.0262
2466.24,0.0258
2471.69,0.0357
2477.13,0.0282
2482.57,0.0918
2488.01,0.135
2493.45,0.2558
2498.89,0.0755
