wavelength_nm,mean,std,min,max,n_pixels,class_name
669.85,0.056771197178499176,0.016059146796042242,0.0155,0.1616,15311,field
673.05,0.05669743974920004,0.01628863949484294,0.0152,0.1616,15311,field
676.25,0.05639645353014172,0.016356055806834444,0.0148,0.1595,15311,field
679.45,0.05643304813532769,0.01640806021689413,0.0147,0.1594,15311,field
682.64,0.05742358435112008,0.01659005792020061,0.0149,0.1651,15311,field
685.84,0.06419548037358792,0.018093967417532275,0.0165,0.179,15311,field
689.03,0.07212599438312295,0.016642919251658075,0.0179,0.18,15311,field
692.23,0.08005117235974125,0.015344676421412951,0.0193,0.181,15311,field
695.43,0.08797885833714351,0.014240504844041746,0.0207,0.182,15311,field
698.62,0.09590145646920502,0.013378492194482483,0.0221,0.183,15311,field
701.82,0.10383427601071069,0.012807119927320124,0.0235,0.184,15311,field
705.02,0.11175878779962112,0.012567309138701572,0.0249,0.1859,15311,field
708.21,0.11968145777545552,0.012677120536572505,0.0263,0.188,15311,field
711.41,0.12761191953497528,0.013128179847914716,0.0277,0.1901,15311,field
714.61,0.1355374436679508,0.013886653187274525,0.0291,0.2057,15311,field
717.8,0.14346211220691016,0.014906044502923545,0.0305,0.2216,15311,field
721.0,0.15139469662334318,0.016138062138910485,0.0319,0.2376,15311,field
724.2,0.15931731434916052,0.017535371177225156,0.0333,0.2535,15311,field
727.39,0.16724226373195797,0.019063699574983915,0.0347,0.2703,15311,field
730.59,0.17516976030305073,0.02069345396898684,0.0361,0.2874,15311,field
733.79,0.1830979753118676,0.022402810482620855,0.0375,0.3045,15311,field
736.98,0.1910226503820778,0.02417431172026942,0.0389,0.3216,15311,field
740.18,0.19895057148455478,0.025995825133966956,0.0403,0.3387,15311,field
743.38,0.20597354189798167,0.0277843382521741,0.0424,0.3553,15311,field
746.57,0.21422506041408157,0.029672494035839474,0.0451,0.3762,15311,field
749.77,0.21879244987264057,0.030884185958815268,0.045,0.3889,15311,field
752.97,0.22067345046045328,0.031319099163465536,0.0452,0.3933,15311,field
756.16,0.22255390242309392,0.03176138471070434,0.0454,0.3978,15311,field
759.36,0.22443539938606274,0.03221042075672807,0.0456,0.4022,15311,field
762.56,0.22631534844229745,0.032666143157098176,0.0458,0.4066,15311,field
765.75,0.22819578081118166,0.03312907057664609,0.046,0.411,15311,field
768.95,0.23007834236823207,0.033598102161660884,0.0463,0.4155,15311,field
772.15,0.23195836979949128,0.03407299846443362,0.0465,0.4199,15311,field
775.34,0.2367543987982491,0.03474524420486502,0.048,0.4257,15311,field
778.54,0.23848113774410556,0.03495767153276727,0.0485,0.4322,15311,field
781.74,0.23757926980602165,0.03480920886159267,0.0462,0.4302,15311,field
784.93,0.2391652406766386,0.03501798235548036,0.0479,0.4265,15311,field
788.13,0.24110635490823612,0.035288818355932984,0.047,0.4353,15311,field
791.33,0.24196157011299083,0.035360501520613596,0.0472,0.4359,15311,field
794.52,0.24281660897393995,0.03543454390542691,0.0474,0.4365,15311,field
797.72,0.24367124942851504,0.03551008638966676,0.0476,0.4371,15311,field
800.92,0.24452656260205027,0.03558751464160446,0.0478,0.4377,15311,field
804.11,0.24538115733786112,0.03566725588890753,0.048,0.4382,15311,field
807.31,0.24623588269871222,0.03574861915915237,0.0482,0.4388,15311,field
810.51,0.2470909411534192,0.0358315323637002,0.0484,0.4394,15311,field
813.7,0.24794573835804337,0.03591738828410819,0.0486,0.4407,15311,field
816.9,0.2488007641564882,0.0360044438445472,0.0488,0.4423,15311,field
820.1,0.24965577036117864,0.036093778218778565,0.0489,0.4439,15311,field
823.29,0.2505105283782892,0.03618440718738723,0.0491,0.4455,15311,field
826.49,0.2513652276141341,0.03627753257195047,0.049,0.4471,15311,field
829.68,0.25221917575599345,0.036372242280220415,0.0488,0.4486,15311,field
832.88,0.2530753837110577,0.036468576070843896,0.0487,0.4502,15311,field
836.08,0.25392970413428345,0.036566316275958785,0.0486,0.4518,15311,field
839.28,0.25478548755796593,0.0366669330253788,0.0485,0.4534,15311,field
842.47,0.2556398079811891,0.03676858120039762,0.0484,0.455,15311,field
845.67,0.2557609953628104,0.03684771259313417,0.049,0.4494,15311,field
848.86,0.2608098230030698,0.03754345178876823,0.0478,0.4576,15311,field
852.06,0.258303089282218,0.037105127157708785,0.0506,0.4604,15311,field
855.26,0.25871830056821954,0.03717735981877622,0.0475,0.4541,15311,field
858.46,0.2531621252694132,0.036383016263086085,0.0508,0.4534,15311,field
861.65,0.25842543269544793,0.03701616473601901,0.0485,0.4588,15311,field
864.85,0.26918985696558123,0.03855786235641435,0.0515,0.4738,15311,field
868.04,0.26152070406897115,0.03746819421649791,0.0501,0.4605,15311,field
871.24,0.2538777088367832,0.03635987594642014,0.0485,0.45,15311,field
874.44,0.2584842074325648,0.03693577015584881,0.0485,0.4582,15311,field
877.63,0.2592020246881321,0.037120828234036576,0.0509,0.4619,15311,field
880.83,0.26252383906995075,0.03753308606929365,0.0518,0.463,15311,field
884.03,0.26414915420286156,0.03775540212626095,0.0529,0.4706,15311,field
887.22,0.2668797073999106,0.038164317928808957,0.0537,0.4653,15311,field
890.42,0.26472369538240637,0.03805599347034211,0.0503,0.4728,15311,field
893.62,0.272487433871074,0.039755753908040134,0.0505,0.4787,15311,field
896.81,0.27249116974724175,0.03985646776383219,0.0505,0.4794,15311,field
900.01,0.27176977989680495,0.03967048860356525,0.0504,0.4773,15311,field
903.21,0.2710501861406838,0.03953370814240093,0.0503,0.4755,15311,field
906.4,0.2703263536019841,0.0392937256774838,0.0502,0.473,15311,field
909.6,0.2696039448762324,0.03909756818687501,0.0501,0.4708,15311,field
912.8,0.26888122265038356,0.03892201061047065,0.05,0.4686,15311,field
