wavelength_nm,mean,std,min,max,n_pixels,class_name
586.74,0.026025694940628074,0.010090615901311805,0.0074,0.065,29391,forest
589.94,0.025758691436154054,0.01001390917205564,0.0072,0.0655,29391,forest
593.14,0.02503871253104693,0.00977931838874387,0.0071,0.0647,29391,forest
596.33,0.024896811949236087,0.009714795511479456,0.0072,0.0652,29391,forest
599.53,0.024724350991800353,0.009639234187749224,0.0068,0.066,29391,forest
602.73,0.025014273076792194,0.009715046510354063,0.0071,0.0677,29391,forest
605.92,0.024996373039365777,0.009652963434858655,0.0071,0.0672,29391,forest
609.12,0.024561090129631574,0.00949373594573226,0.0073,0.0679,29391,forest
612.32,0.02383834507162079,0.009188445902966844,0.0071,0.0678,29391,forest
615.51,0.023611775713653825,0.0090379985228627,0.0069,0.0677,29391,forest
618.71,0.02292936953489158,0.008784934225747705,0.0066,0.0676,29391,forest
621.91,0.02297594501718237,0.008759438118159804,0.0068,0.0689,29391,forest
625.1,0.023246810248035127,0.00882786379937516,0.007,0.0708,29391,forest
628.3,0.02307916709196695,0.008768462064827646,0.007,0.0712,29391,forest
631.5,0.022694682045524082,0.00864926731404911,0.0063,0.0727,29391,forest
634.69,0.022748909530128154,0.008677036846952021,0.0065,0.0723,29391,forest
637.89,0.022545704467353947,0.008603655851903836,0.0068,0.0723,29391,forest
641.09,0.02267246435983809,0.008612459274814655,0.0069,0.0743,29391,forest
644.28,0.022632101663774558,0.008562699126724879,0.0069,0.0756,29391,forest
647.48,0.02265783062842353,0.008513885372743377,0.007,0.0776,29391,forest
650.67,0.021219757748970614,0.007974206198781577,0.0066,0.0755,29391,forest
653.87,0.020983239767275775,0.007830350918419432,0.0065,0.0766,29391,forest
657.07,0.020769555306046007,0.007676194266967256,0.0063,0.0753,29391,forest
660.27,0.01930606988533909,0.007169869654696965,0.0056,0.074,29391,forest
663.46,0.019985342451770947,0.007318390389149552,0.0062,0.0774,29391,forest
666.66,0.019808111326596548,0.00714989043156515,0.0065,0.0778,29391,forest
669.85,0.019664023000238187,0.007044467127608586,0.0063,0.0786,29391,forest
673.05,0.019610836650675298,0.006966666218082627,0.0064,0.0802,29391,forest
676.25,0.019498121874043,0.006894023468862675,0.0062,0.0799,29391,forest
679.45,0.019509380422578507,0.006881311001270461,0.0066,0.0822,29391,forest
682.64,0.019799166411486404,0.006997973676425701,0.0066,0.083,29391,forest
685.84,0.02220663468408701,0.007778101290688734,0.0075,0.0911,29391,forest
