wavelength_nm,mean,std,min,max,n_pixels,class_name
532.4,0.048083760683760586,0.0071787494629083765,0.0117,0.1024,15561,green areas
535.6,0.049838455112139274,0.007343652753382919,0.0128,0.1036,15561,green areas
538.79,0.052575104427735914,0.007654423656122677,0.0129,0.1066,15561,green areas
541.99,0.05300152946468724,0.0077010763762024965,0.0126,0.1067,15561,green areas
545.19,0.05352569886254093,0.007789228328781771,0.0131,0.1081,15561,green areas
548.38,0.054401478054109484,0.007924373524680678,0.0118,0.1095,15561,green areas
551.58,0.05519881113039008,0.008039004321979943,0.0125,0.1108,15561,green areas
554.78,0.05608492384808176,0.008180640130949749,0.0134,0.1122,15561,green areas
557.97,0.057818392134181835,0.008443981961934199,0.0132,0.1168,15561,green areas
561.17,0.055952233146969864,0.008304887080210517,0.012,0.1149,15561,green areas
564.37,0.05539005205320983,0.008353555421407366,0.0125,0.1169,15561,green areas
567.56,0.054954405243879054,0.008490126734123237,0.0122,0.1176,15561,green areas
570.76,0.054745961056487505,0.008682516444885494,0.0124,0.1177,15561,green areas
573.96,0.053070213996529954,0.008743618327193359,0.0118,0.1194,15561,green areas
577.15,0.05151258916522066,0.008771924510968337,0.0112,0.1176,15561,green areas
580.35,0.05111517254675151,0.009010795395567388,0.0115,0.1184,15561,green areas
583.55,0.05157515583831378,0.009315632766128169,0.0106,0.1198,15561,green areas
586.74,0.05240108604845446,0.009650010561303875,0.0113,0.1215,15561,green areas
589.94,0.05229518668466049,0.009836756947379417,0.0106,0.1251,15561,green areas
593.14,0.05152388663967608,0.009880585112640132,0.0114,0.1241,15561,green areas
596.33,0.051592256281730156,0.010027431389061533,0.0107,0.1246,15561,green areas
599.53,0.05166366557419195,0.010164368230448069,0.0114,0.1251,15561,green areas
602.73,0.05260116316432111,0.01046113639194956,0.0122,0.1256,15561,green areas
605.92,0.05299265471370733,0.010706728329367497,0.0111,0.1284,15561,green areas
609.12,0.05264853801169592,0.010864812455540707,0.0109,0.132,15561,green areas
612.32,0.05198326585694985,0.011034455217889122,0.0111,0.1319,15561,green areas
615.51,0.052147355568408264,0.011363379240733919,0.011,0.1312,15561,green areas
618.71,0.051371891266628125,0.011466365604781698,0.0106,0.131,15561,green areas
621.91,0.052078214767688265,0.011857342845584228,0.0111,0.1333,15561,green areas
625.1,0.052907486665381406,0.012179965422752782,0.0111,0.1332,15561,green areas
628.3,0.053105385258016925,0.01236305126373877,0.0109,0.1368,15561,green areas
631.5,0.05264753550543009,0.012365250951943465,0.0108,0.1319,15561,green areas
634.69,0.05323368678105491,0.01259216010989572,0.0109,0.1363,15561,green areas
637.89,0.05321945890366937,0.012792914390466231,0.0109,0.1379,15561,green areas
641.09,0.05395369834843515,0.013275566084445186,0.0108,0.141,15561,green areas
644.28,0.054318597776492526,0.013742813026616658,0.0101,0.1413,15561,green areas
647.48,0.05497660818713425,0.014296666934490013,0.0111,0.1465,15561,green areas
650.67,0.052120467836257296,0.01391872273625991,0.01,0.1421,15561,green areas
653.87,0.052387314439946084,0.014266753683303537,0.0104,0.1426,15561,green areas
657.07,0.052538776428250035,0.01455648320278127,0.0097,0.1435,15561,green areas
660.27,0.04955128205128203,0.014065443755121103,0.0101,0.1369,15561,green areas
663.46,0.051925017672385915,0.015037837817825606,0.0096,0.1442,15561,green areas
666.66,0.05209133089133092,0.015435589531956707,0.0099,0.1441,15561,green areas
669.85,0.052291491549386324,0.01577017904587297,0.0096,0.1479,15561,green areas
673.05,0.052609658762290214,0.016042271758714935,0.0103,0.148,15561,green areas
676.25,0.05268083670715229,0.01617784976367282,0.0098,0.148,15561,green areas
679.45,0.053014838377996136,0.01630395539999406,0.0102,0.1517,15561,green areas
682.64,0.054067257888310565,0.01652110352518413,0.0107,0.1509,15561,green areas
685.84,0.06033894351262784,0.01809705439862794,0.012,0.1671,15561,green areas
689.03,0.06871604652657258,0.01585420792549656,0.0144,0.1701,15561,green areas
692.23,0.07708783497204476,0.014038812265198652,0.0168,0.173,15561,green areas
695.43,0.08546248313090402,0.012831181537311062,0.0193,0.1759,15561,green areas
698.62,0.09383190668980147,0.012410722902059487,0.0217,0.1788,15561,green areas
701.82,0.10221101471627853,0.012855502888012764,0.0241,0.1818,15561,green areas
705.02,0.11058261037208429,0.01408274978618435,0.0265,0.1847,15561,green areas
708.21,0.11895166120429251,0.015911691388748133,0.0281,0.1969,15561,green areas
711.41,0.12732888631836087,0.018164425820775362,0.0295,0.2202,15561,green areas
714.61,0.13570052053209963,0.020699993830618407,0.0309,0.2434,15561,green areas
717.8,0.14407230255124978,0.023428474510560942,0.0323,0.2667,15561,green areas
721.0,0.15245242593663724,0.026291298411587782,0.0337,0.29,15561,green areas
724.2,0.16082128397917778,0.029244181007485767,0.0351,0.3132,15561,green areas
727.39,0.16919347085662928,0.03226569285660306,0.0365,0.3364,15561,green areas
730.59,0.17756730929888814,0.035338822640540314,0.0379,0.3597,15561,green areas
733.79,0.18594186748923563,0.0384508944618773,0.0393,0.383,15561,green areas
736.98,0.19431379731379647,0.0415915822785601,0.0408,0.4062,15561,green areas
740.18,0.20268826553563457,0.04475655065243271,0.0422,0.4295,15561,green areas
743.38,0.210066506008611,0.047394113506289144,0.0415,0.4467,15561,green areas
746.57,0.21840494184178358,0.050062201521771356,0.0431,0.4804,15561,green areas
749.77,0.222930139451192,0.05178067611878606,0.0452,0.4965,15561,green areas
752.97,0.22545253518411454,0.05247711997606624,0.0455,0.506,15561,green areas
756.16,0.22797336932073714,0.05317855066580489,0.0458,0.5154,15561,green areas
759.36,0.2304959257117157,0.05388632739679224,0.0461,0.5249,15561,green areas
762.56,0.2330170940170941,0.05460036578888149,0.0464,0.5344,15561,green areas
765.75,0.23553885354411763,0.05531942014160865,0.0467,0.5438,15561,green areas
768.95,0.23806146777199416,0.05604448980759917,0.047,0.5533,15561,green areas
772.15,0.24058254610886157,0.056774429845557424,0.0473,0.5628,15561,green areas
775.34,0.24533130904183578,0.057781359231968185,0.0485,0.5748,15561,green areas
778.54,0.24764239444765837,0.05816503309294396,0.0484,0.5864,15561,green areas
781.74,0.24745717498875355,0.057983405103899884,0.049,0.5815,15561,green areas
784.93,0.24956621682411267,0.058276602038275296,0.0484,0.5887,15561,green areas
788.13,0.25190140093824015,0.05873899603201928,0.0471,0.5971,15561,green areas
791.33,0.2534104749052126,0.05890071196262199,0.0472,0.5997,15561,green areas
794.52,0.2549181415076139,0.059062951584842004,0.0473,0.6023,15561,green areas
797.72,0.2564255960413852,0.05922776070815414,0.0475,0.6049,15561,green areas
800.92,0.25793463145042034,0.05939373741531021,0.0476,0.6075,15561,green areas
804.11,0.25944194460510156,0.05956193707279426,0.0477,0.6101,15561,green areas
807.31,0.2609492834650719,0.05973155906844785,0.0479,0.6128,15561,green areas
810.51,0.2624587494376982,0.05990238686296827,0.048,0.6154,15561,green areas
813.7,0.2639659083606462,0.06007479905086339,0.0481,0.618,15561,green areas
